Commodity	YearNum	Amount11	UnitDesc	
Livestock products :  Pork	2010	"50,712.00"	1000 tons	
Livestock products :  Pork	2009	"48,905.46"	1000	
Livestock products :  Pork	2008	"46,205.00"	1000 tons	
Livestock products :  Pork	2007	"42,878.00"	1000 tons	
Livestock products :  Pork	2006	"46,504.50"	1000 tons	
Livestock products :  Pork	2005	"45,553.30"	1000 tons	
Livestock products :  Pork	2004	"43,410.00"	1000 tons	
Livestock products :  Pork	2003	"42,386.40"	1000 tons	
Livestock products :  Pork	2002	"41,231.00"	1000 tons	
Livestock products :  Pork	2001	"40,517.10"	1000 tons	
Livestock products :  Pork	2000	"39,659.90"	1000 tons	
Livestock products :  Pork	1999	"40,056.00"	1000 tons	
Livestock products :  Pork	1998	"38,837.00"	1000 tons	
Livestock products :  Pork	1997	"35,963.00"	1000 tons	
Livestock products :  Pork	1996	"40,377.00"	1000 tons	
Livestock products :  Pork	1995	"36,484.00"	1000 tons	
Livestock products :  Pork	1994	"32,048.00"	1000 tons	
Livestock products :  Pork	1993	"28,544.00"	1000 tons	
Livestock products :  Pork	1992	"26,353.00"	1000 tons	
Livestock products :  Pork	1991	"24,523.00"	1000 tons	
Livestock products :  Pork	1990	"22,811.00"	1000 tons	
Livestock products :  Pork	1989	"21,228.00"	1000 tons	
Livestock products :  Pork	1988	"20,176.00"	1000 tons	
Livestock products :  Pork	1987	"18,349.00"	1000 tons	
Livestock products :  Pork	1986	"17,960.00"	1000 tons	
Livestock products :  Pork	1985	"16,547.00"	1000 tons	
Livestock products :  Pork	1984	"14,447.00"	1000 tons	
Livestock products :  Pork	1983	"13,161.00"	1000 tons	
Livestock products :  Pork	1982	"12,718.00"	1000 tons	
Livestock products :  Pork	1981	"11,884.00"	1000 tons	
Livestock products :  Pork	1980	"11,341.00"	1000 tons	
Livestock products :  Pork	1979	"10,014.00"	1000 tons	
Livestock products :  Pork	1978	"7,890.00"	1000 tons	
Livestock products :  Pork	1977	"6,840.00"	1000 tons	
Livestock products :  Pork	1976	"6,870.00"	1000 tons	
Livestock products :  Pork	1975	"6,990.00"	1000 tons	
Livestock products :  Pork	1974	"6,905.00"	1000 tons	
Livestock products :  Pork	1973	"6,730.00"	1000 tons	
Livestock products :  Pork	1972	"6,515.00"	1000 tons	
Livestock products :  Pork	1971	"5,905.00"	1000 tons	
Livestock products :  Pork	1970	"4,925.00"	1000 tons	
Livestock products :  Pork	1969	"4,705.00"	1000 tons	
Livestock products :  Pork	1968	"5,090.00"	1000 tons	
Livestock products :  Pork	1967	"5,200.00"	1000 tons	
Livestock products :  Pork	1966	"5,195.00"	1000 tons	
Livestock products :  Pork	1965	"4,520.00"	1000 tons	
Livestock products :  Pork	1964	"3,915.00"	1000 tons	
Livestock products :  Pork	1963	"2,910.00"	1000 tons	
Livestock products :  Pork	1962	"1,475.00"	1000 tons	
Livestock products :  Pork	1961	930	1000 tons	
Livestock products :  Pork	1960	"1,015.00"	1000 tons	
Livestock products :  Pork	1959	"2,040.00"	1000 tons	
Livestock products :  Pork	1958	"3,405.00"	1000 tons	
Livestock products :  Pork	1957	"3,230.00"	1000 tons	
Livestock products :  Pork	1956	"2,890.00"	1000 tons	
Livestock products :  Pork	1955	"3,000.00"	1000 tons	
Livestock products :  Pork	1954	"3,570.00"	1000 tons	
Livestock products :  Pork	1953	"3,515.00"	1000 tons	
Livestock products :  Pork	1952	"3,355.00"	1000 tons	
				
Commodity2	YearNum1	CommodityDesc	Amount	UnitDesc1
Livestock products	2010	Pork	"50,712.00"	1000 tons
Livestock products	2009	Pork	"48,905.46"	1000
Livestock products	2008	Pork	"46,205.00"	1000 tons
Livestock products	2007	Pork	"42,878.00"	1000 tons
Livestock products	2006	Pork	"46,504.50"	1000 tons
Livestock products	2005	Pork	"45,553.30"	1000 tons
Livestock products	2004	Pork	"43,410.00"	1000 tons
Livestock products	2003	Pork	"42,386.40"	1000 tons
Livestock products	2002	Pork	"41,231.00"	1000 tons
Livestock products	2001	Pork	"40,517.10"	1000 tons
Livestock products	2000	Pork	"39,659.90"	1000 tons
Livestock products	1999	Pork	"40,056.00"	1000 tons
Livestock products	1998	Pork	"38,837.00"	1000 tons
Livestock products	1997	Pork	"35,963.00"	1000 tons
Livestock products	1996	Pork	"40,377.00"	1000 tons
Livestock products	1995	Pork	"36,484.00"	1000 tons
Livestock products	1994	Pork	"32,048.00"	1000 tons
Livestock products	1993	Pork	"28,544.00"	1000 tons
Livestock products	1992	Pork	"26,353.00"	1000 tons
Livestock products	1991	Pork	"24,523.00"	1000 tons
Livestock products	1990	Pork	"22,811.00"	1000 tons
Livestock products	1989	Pork	"21,228.00"	1000 tons
Livestock products	1988	Pork	"20,176.00"	1000 tons
Livestock products	1987	Pork	"18,349.00"	1000 tons
Livestock products	1986	Pork	"17,960.00"	1000 tons
Livestock products	1985	Pork	"16,547.00"	1000 tons
Livestock products	1984	Pork	"14,447.00"	1000 tons
Livestock products	1983	Pork	"13,161.00"	1000 tons
Livestock products	1982	Pork	"12,718.00"	1000 tons
Livestock products	1981	Pork	"11,884.00"	1000 tons
Livestock products	1980	Pork	"11,341.00"	1000 tons
Livestock products	1979	Pork	"10,014.00"	1000 tons
Livestock products	1978	Pork	"7,890.00"	1000 tons
Livestock products	1977	Pork	"6,840.00"	1000 tons
Livestock products	1976	Pork	"6,870.00"	1000 tons
Livestock products	1975	Pork	"6,990.00"	1000 tons
Livestock products	1974	Pork	"6,905.00"	1000 tons
Livestock products	1973	Pork	"6,730.00"	1000 tons
Livestock products	1972	Pork	"6,515.00"	1000 tons
Livestock products	1971	Pork	"5,905.00"	1000 tons
Livestock products	1970	Pork	"4,925.00"	1000 tons
Livestock products	1969	Pork	"4,705.00"	1000 tons
Livestock products	1968	Pork	"5,090.00"	1000 tons
Livestock products	1967	Pork	"5,200.00"	1000 tons
Livestock products	1966	Pork	"5,195.00"	1000 tons
Livestock products	1965	Pork	"4,520.00"	1000 tons
Livestock products	1964	Pork	"3,915.00"	1000 tons
Livestock products	1963	Pork	"2,910.00"	1000 tons
Livestock products	1962	Pork	"1,475.00"	1000 tons
Livestock products	1961	Pork	930	1000 tons
Livestock products	1960	Pork	"1,015.00"	1000 tons
Livestock products	1959	Pork	"2,040.00"	1000 tons
Livestock products	1958	Pork	"3,405.00"	1000 tons
Livestock products	1957	Pork	"3,230.00"	1000 tons
Livestock products	1956	Pork	"2,890.00"	1000 tons
Livestock products	1955	Pork	"3,000.00"	1000 tons
Livestock products	1954	Pork	"3,570.00"	1000 tons
Livestock products	1953	Pork	"3,515.00"	1000 tons
Livestock products	1952	Pork	"3,355.00"	1000 tons
